Transaction_ID,Transaction_Date,Cash_Account_ID,Direction,Transaction_Type,Reference_ID,Amount,Description,Created_By,Created_At
CTX000001,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000001,5000,Payment received for ORD000001,Mridul,Sat Aug 15 2026 17:35:04 GMT+0600 (Bangladesh Standard Time)
CTX000002,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000002,1000,Payment received for ORD000002,Mridul,Sat Aug 15 2026 17:37:57 GMT+0600 (Bangladesh Standard Time)
CTX000003,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,OUT,RETURN,RET000002,1350,Customer refund for ORD000001,Mridul,Sat Aug 15 2026 17:43:46 GMT+0600 (Bangladesh Standard Time)
CTX000004,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,INVESTMENT,CAP000001,10000,INVESTMENT by Mridul,Mridul,Sat Aug 15 2026 18:05:01 GMT+0600 (Bangladesh Standard Time)
CTX000005,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000003,300,Payment received for ORD000003,Mridul,Sat Aug 15 2026 21:16:56 GMT+0600 (Bangladesh Standard Time)
CTX000006,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000004,300,Payment received for ORD000004,Mridul,Sat Aug 15 2026 21:30:56 GMT+0600 (Bangladesh Standard Time)
CTX000007,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000005,300,Payment received for ORD000005,Mridul,Sat Aug 15 2026 21:38:59 GMT+0600 (Bangladesh Standard Time)
CTX000008,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000006,300,Payment received for ORD000006,Mridul,Sat Aug 15 2026 21:41:28 GMT+0600 (Bangladesh Standard Time)
CTX000009,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH004,IN,PAYMENT,PAY000007,1500,Payment received for ORD000007,Mridul,Sat Aug 15 2026 21:52:59 GMT+0600 (Bangladesh Standard Time)
CTX000010,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH002,IN,PAYMENT,PAY000008,2000,Payment received for ORD000008,Jabed,Sat Aug 15 2026 21:54:07 GMT+0600 (Bangladesh Standard Time)
CTX000011,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH003,IN,PAYMENT,PAY000009,400,Payment received for ORD000009,Fazle,Sat Aug 15 2026 21:55:41 GMT+0600 (Bangladesh Standard Time)
CTX000012,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),CASH001,OUT,RETURN,RET000004,1100,Customer refund for ORD000008,Jabed,Sat Aug 15 2026 22:00:29 GMT+0600 (Bangladesh Standard Time)
