Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Cost_Price,Discount,Line_Total,COGS,Fulfilled_From_Location_ID
OI000001,ORD000001,PRD001,1,1200,715,200,1000,715,LOC001
OI000002,ORD000001,PRD003,1,1000,615,200,800,615,LOC001
OI000003,ORD000001,PRD005,1,1200,715,200,1000,715,LOC001
OI000004,ORD000001,PRD004,0.5,1000,665,100,400,332.5,LOC001
OI000005,ORD000001,PRD006,5,560,390,300,2500,1950,LOC001
OI000006,ORD000001,PRD007,5,660,405,300,3000,2025,LOC001
OI000007,ORD000002,PRD008,1,1420,1030,20,1400,1030,LOC001
OI000008,ORD000003,PRD006,1,560,390,100,460,390,LOC001
OI000009,ORD000004,PRD006,1,560,390,100,460,390,LOC001
OI000010,ORD000005,PRD006,1,560,390,100,460,390,LOC001
OI000011,ORD000006,PRD006,1,560,390,100,460,390,LOC001
OI000012,ORD000007,PRD007,1,660,405,10,650,405,LOC001
OI000013,ORD000007,PRD003,1,1000,615,100,900,615,LOC001
OI000014,ORD000008,PRD006,2,560,390,0,1120,780,LOC001
OI000015,ORD000008,PRD007,2,660,405,0,1320,810,LOC001
OI000016,ORD000009,PRD014,0.2,2100,1735,20,400,347,LOC001
