Payment_ID,Payment_Date,Order_ID,Customer_ID,Amount,Payment_Method,Cash_Account_ID,Collected_By,Notes,Created_At
PAY000001,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000001,CUS000394,5000,Cash,CASH004,PTR04,,Sat Aug 15 2026 17:35:04 GMT+0600 (Bangladesh Standard Time)
PAY000002,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000002,CUS000394,1000,Cash,CASH004,PTR04,,Sat Aug 15 2026 17:37:56 GMT+0600 (Bangladesh Standard Time)
PAY000003,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000003,CUS000395,300,Cash,CASH004,PTR04,,Sat Aug 15 2026 21:16:55 GMT+0600 (Bangladesh Standard Time)
PAY000004,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000004,CUS000395,300,Cash,CASH004,PTR04,,Sat Aug 15 2026 21:30:55 GMT+0600 (Bangladesh Standard Time)
PAY000005,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000005,CUS000395,300,Cash,CASH004,PTR04,,Sat Aug 15 2026 21:38:59 GMT+0600 (Bangladesh Standard Time)
PAY000006,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000006,CUS000395,300,Cash,CASH004,PTR04,,Sat Aug 15 2026 21:41:27 GMT+0600 (Bangladesh Standard Time)
PAY000007,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000007,CUS000396,1500,Cash,CASH004,PTR04,,Sat Aug 15 2026 21:52:58 GMT+0600 (Bangladesh Standard Time)
PAY000008,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000008,CUS000397,2000,Cash,CASH002,PTR02,,Sat Aug 15 2026 21:54:07 GMT+0600 (Bangladesh Standard Time)
PAY000009,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),ORD000009,CUS000397,400,Cash,CASH003,PTR03,,Sat Aug 15 2026 21:55:40 GMT+0600 (Bangladesh Standard Time)
PAY000010,Sat Aug 15 2026 22:03:13 GMT+0600 (Bangladesh Standard Time),ORD000003,CUS000395,60,Cash,CASH004,PTR04,,Sat Aug 15 2026 22:03:14 GMT+0600 (Bangladesh Standard Time)
PAY000011,Sat Aug 15 2026 22:03:37 GMT+0600 (Bangladesh Standard Time),ORD000004,CUS000395,60,Cash,CASH004,PTR04,,Sat Aug 15 2026 22:03:40 GMT+0600 (Bangladesh Standard Time)
PAY000012,Sat Aug 15 2026 22:04:06 GMT+0600 (Bangladesh Standard Time),ORD000005,CUS000395,60,Cash,CASH004,PTR04,,Sat Aug 15 2026 22:04:07 GMT+0600 (Bangladesh Standard Time)
PAY000013,Sat Aug 15 2026 22:04:33 GMT+0600 (Bangladesh Standard Time),ORD000006,CUS000395,60,Cash,CASH004,PTR04,,Sat Aug 15 2026 22:04:34 GMT+0600 (Bangladesh Standard Time)
