Product_ID,Product_Name,Units_Sold,Gross_Sales,Discount,Net_Sales,COGS,Gross_Profit,Gross_Margin
PRD005,Black Seed Honey,6,7200,1050,6150,4290,1860,0.3024390243902439
PRD007,Litchi Honey,5,3300,50,3250,2025,1225,0.3769230769230769
PRD003,Hill Tracts Honey,3,3000,50,2950,1845,1105,0.37457627118644066
PRD006,Mustard Honey,5,2800,50,2750,1950,800,0.2909090909090909
PRD002,Sundarbans Honey,1,1600,50,1550,965,585,0.3774193548387097
PRD008,Ghee,1,1420,220,1200,1030,170,0.14166666666666666
PRD001,Kholisha Honey,1,1200,50,1150,715,435,0.3782608695652174
PRD004,Boroi Honey,1,1000,50,950,665,285,0.3
PRD019,Meat Spice Mix,0.2,550,0,550,479,71,0.1290909090909091
PRD021,Sugarcane Jaggery Powder,1,310,10,300,230,70,0.23333333333333334
PRD020,Sugarcane Jaggery Cubes,1,290,10,280,215,65,0.23214285714285715
PRD018,Cumin Powder,0.2,205,0,205,179,26,0.12682926829268293
PRD022,Sugarcane Patali Gur,1,220,20,200,155,45,0.225
PRD016,Chili Powder,0.2,160,0,160,139,21,0.13125
PRD015,Turmeric Powder,0.2,105,0,105,89,16,0.1523809523809524
PRD017,Coriander Powder,0.2,90,0,90,79,11,0.12222222222222222
