Product_ID,Product_Name,Category,Unit,Selling_Price,Cost_Price,Opening_Stock,Reorder_Level,Active
PRD001,Kholisha Honey,Honey,kg,1200,715,4.9,1,true
PRD002,Sundarbans Honey,Honey,kg,1600,965,4.9,1,true
PRD003,Hill Tracts Honey,Honey,kg,1000,615,5.5,1,true
PRD004,Boroi Honey,Honey,kg,1000,665,1,1,true
PRD005,Black Seed Honey,Honey,kg,1200,715,11.75,5,true
PRD006,Mustard Honey,Honey,kg,560,390,70.5,10,true
PRD007,Litchi Honey,Honey,kg,660,405,59.1,10,true
PRD008,Ghee,Ghee & Dairy,kg,1420,1030,7.25,5,true
PRD009,Deshi Cow Milk Ghee,Ghee & Dairy,kg,1600,1241.65,2.3,1,true
PRD010,Coconut Oil (Extra Virgin),Oils,L,1550,1240,0.8,1,true
PRD011,Coconut Oil (Hot Pressed),Oils,L,1050,840,0.25,1,true
PRD012,Mustard Oil (1st Press / Kachi Ghani),Oils,L,270,235,12,10,true
PRD013,Mustard Oil (Machine Press),Oils,L,240,210,0,10,true
PRD014,Black Seed Oil,Oils,L,2100,1735,1,0.2,true
PRD015,Turmeric Powder,Spices,kg,525,445,0.4,1,true
PRD016,Chili Powder,Spices,kg,800,695,0.8,1,true
PRD017,Coriander Powder,Spices,kg,450,395,0.4,0.2,true
PRD018,Cumin Powder,Spices,kg,1025,895,0.4,0.2,true
PRD019,Meat Spice Mix,Spices,kg,2750,2395,0.4,0.2,true
PRD020,Sugarcane Jaggery Cubes,Gur,kg,290,215,3,1,true
PRD021,Sugarcane Jaggery Powder,Gur,kg,310,230,1,1,true
PRD022,Sugarcane Patali Gur,Gur,kg,220,155,9,1,true
PRD023,Chia Seeds,Seeds,kg,560,400,1,5,true
PRD024,Isabgul,Seeds,kg,2000,1460,0.25,0.25,true
PRD025,Tokma Seeds,Seeds,kg,350,240,1,0.25,true
PRD026,Mixed Nuts,Nuts,kg,1400,1050,0.75,,true
PRD027,Honey Nuts (Litchi Honey),Nuts,kg,1000,745,0,,true
PRD028,Cashew Nuts,Nuts,kg,1800,1505,0.64,0.5,true
PRD029,Peanuts,Nuts,kg,500,365,0.14,0.5,true
PRD030,Almonds,Nuts,kg,1650,1385,0.49,0.5,true
PRD031,Walnuts,Nuts,kg,1500,1165,0.265,0.5,true
PRD032,Golden Raisins,Nuts,kg,1150,935,0.25,0.5,true
PRD033,Pumpkin Seeds,Nuts,kg,1000,805,0.168,0.5,true
PRD034,Jorda Aloo / Bokhara Plum,Nuts,kg,850,685,0,0.5,true
PRD035,Sakura Plum,Nuts,kg,2000,1335,0.54,0.5,true
