Movement_ID,Movement_Date,Product_ID,Movement_Type,Reference_ID,Quantity,Direction,From_Location_ID,To_Location_ID,Notes,Created_At
STM000001,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD001,SALE,ORD000001,1,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:05 GMT+0600 (Bangladesh Standard Time)
STM000002,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD003,SALE,ORD000001,1,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:05 GMT+0600 (Bangladesh Standard Time)
STM000003,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD005,SALE,ORD000001,1,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:05 GMT+0600 (Bangladesh Standard Time)
STM000004,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD004,SALE,ORD000001,0.5,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:06 GMT+0600 (Bangladesh Standard Time)
STM000005,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000001,5,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:06 GMT+0600 (Bangladesh Standard Time)
STM000006,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,SALE,ORD000001,5,OUT,LOC001,,Sale through ORD000001,Sat Aug 15 2026 17:35:06 GMT+0600 (Bangladesh Standard Time)
STM000007,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD007,RETURN,RET000001,5,IN,,LOC001,CUSTOMER_RETURN at Main Warehouse,Sat Aug 15 2026 17:37:02 GMT+0600 (Bangladesh Standard Time)
STM000008,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD008,SALE,ORD000002,1,OUT,LOC001,,Sale through ORD000002,Sat Aug 15 2026 17:37:57 GMT+0600 (Bangladesh Standard Time)
STM000009,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,RETURN,RET000002,5,IN,,LOC001,CUSTOMER_RETURN at Main Warehouse,Sat Aug 15 2026 17:43:45 GMT+0600 (Bangladesh Standard Time)
STM000010,Sat Aug 15 2026 00:00:00 GMT+0600 (Bangladesh Standard Time),PRD006,SALE,ORD000003,1,OUT,LOC001,,Sale through ORD000003,Sat Aug 15 2026 21:16:56 GMT+0600 (Bangladesh Standard Time)
