Sheet_Name,Column_Order,Column_Name,Data_Type,Row_Count,Column_Count
Partners,1,Partner_ID,,5,4
Partners,2,Partner_Name,,5,4
Partners,3,Role,,5,4
Partners,4,Active,,5,4
Customers,1,Customer_ID,,381,11
Customers,2,Customer_Name,,381,11
Customers,3,Contact,,381,11
Customers,4,Address,,381,11
Customers,5,First_Order_Date,,381,11
Customers,6,Last_Order_Date,,381,11
Customers,7,Total_Orders,,381,11
Customers,8,Total_Spent,,381,11
Customers,9,Total_Paid,,381,11
Customers,10,Total_Due,,381,11
Customers,11,Status,,381,11
Suppliers,1,Supplier_ID,,3,5
Suppliers,2,Supplier_Name,,3,5
Suppliers,3,Contact,,3,5
Suppliers,4,Address,,3,5
Suppliers,5,Active,,3,5
Orders,1,Order_ID,,3,12
Orders,2,Order_Date,,3,12
Orders,3,Customer_ID,,3,12
Orders,4,Subtotal,,3,12
Orders,5,Discount,,3,12
Orders,6,Delivery_Charge,,3,12
Orders,7,Total_Amount,,3,12
Orders,8,Paid,,3,12
Orders,9,Due,,3,12
Orders,10,Order_Status,,3,12
Orders,11,Collected_By,,3,12
Orders,12,Created_At,,3,12
Order_Items,1,Order_Item_ID,,8,10
Order_Items,2,Order_ID,,8,10
Order_Items,3,Product_ID,,8,10
Order_Items,4,Quantity,,8,10
Order_Items,5,Unit_Price,,8,10
Order_Items,6,Cost_Price,,8,10
Order_Items,7,Discount,,8,10
Order_Items,8,Line_Total,,8,10
Order_Items,9,COGS,,8,10
Order_Items,10,Fulfilled_From_Location_ID,,8,10
Returns,1,Return_ID,,3,13
Returns,2,Return_Date,,3,13
Returns,3,Return_Type,,3,13
Returns,4,Reference_Order_ID,,3,13
Returns,5,Reference_Purchase_ID,,3,13
Returns,6,Location_ID,,3,13
Returns,7,Refund_Amount,,3,13
Returns,8,Cash_Account_ID,,3,13
Returns,9,Returned_By,,3,13
Returns,10,Reason,,3,13
Returns,11,Status,,3,13
Returns,12,Notes,,3,13
Returns,13,Created_At,,3,13
Return_Items,1,Return_Item_ID,,3,6
Return_Items,2,Return_ID,,3,6
Return_Items,3,Product_ID,,3,6
Return_Items,4,Quantity,,3,6
Return_Items,5,Unit_Price,,3,6
Return_Items,6,Line_Amount,,3,6
Purchases,1,Purchase_ID,,1,15
Purchases,2,Purchase_Date,,1,15
Purchases,3,Supplier_ID,,1,15
Purchases,4,Subtotal,,1,15
Purchases,5,Discount,,1,15
Purchases,6,Other_Charges,,1,15
Purchases,7,Total_Amount,,1,15
Purchases,8,Paid,,1,15
Purchases,9,Due,,1,15
Purchases,10,Payment_Method,,1,15
Purchases,11,Cash_Account_ID,,1,15
Purchases,12,Purchased_By,,1,15
Purchases,13,Purchase_Status,,1,15
Purchases,14,Notes,,1,15
Purchases,15,Created_At,,1,15
Purchase_Items,1,Purchase_Item_ID,,1,8
Purchase_Items,2,Purchase_ID,,1,8
Purchase_Items,3,Product_ID,,1,8
Purchase_Items,4,Quantity,,1,8
Purchase_Items,5,Unit_Cost,,1,8
Purchase_Items,6,Discount,,1,8
Purchase_Items,7,Line_Total,,1,8
Purchase_Items,8,Stock_Location_ID,,1,8
Products,1,Product_ID,,36,13
Products,2,Product_Name,,36,13
Products,3,Category,,36,13
Products,4,Unit,,36,13
Products,5,Selling_Price,,36,13
Products,6,Cost_Price,,36,13
Products,7,Opening_Stock,,36,13
Products,8,Reorder_Level,,36,13
Products,9,Active,,36,13
Products,10,,,36,13
Products,11,,,36,13
Products,12,,,36,13
Products,13,,,36,13
Product_Sales,1,Product_ID,,17,9
Product_Sales,2,Product_Name,,17,9
Product_Sales,3,Units_Sold,,17,9
Product_Sales,4,Gross_Sales,,17,9
Product_Sales,5,Discount,,17,9
Product_Sales,6,Net_Sales,,17,9
Product_Sales,7,COGS,,17,9
